timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-23T18:13:42,matrix-game-3,1st_data,mirror_test,data-41,0.06,24.00,0.03,521,31667,4
2026-05-23T18:32:05,matrix-game-3,1st_data,mirror_test,data-42,0.04,24.00,0.03,610,31578,3
2026-05-23T18:46:47,matrix-game-3,1st_data,mirror_test,data-43,0.06,24.00,0.03,649,31539,2
2026-05-23T19:01:03,matrix-game-3,1st_data,mirror_test,data-44,0.06,24.00,0.03,637,31551,2
2026-05-23T19:15:02,matrix-game-3,1st_data,mirror_test,data-45,0.05,24.00,0.03,712,31476,3
2026-05-23T19:28:57,matrix-game-3,1st_data,mirror_test,data-46,0.05,24.00,0.03,714,31474,5
2026-05-23T19:42:25,matrix-game-3,1st_data,mirror_test,data-47,0.08,24.00,0.03,624,31564,3
2026-05-23T19:55:05,matrix-game-3,1st_data,mirror_test,data-48,0.05,24.00,0.03,602,31586,5
2026-05-23T20:07:29,matrix-game-3,1st_data,mirror_test,data-49,0.05,24.00,0.03,596,31592,4
2026-05-23T20:20:43,matrix-game-3,1st_data,mirror_test,data-50,0.06,24.00,0.03,585,31603,2
2026-05-23T20:33:58,matrix-game-3,1st_data,mirror_test,data-51,0.06,24.00,0.03,578,31610,5
2026-05-23T20:47:16,matrix-game-3,1st_data,mirror_test,data-53,0.06,24.00,0.03,581,31607,5
2026-05-23T21:00:30,matrix-game-3,1st_data,mirror_test,data-54,0.05,24.00,0.03,581,31607,5
2026-05-23T21:13:14,matrix-game-3,1st_data,mirror_test,data-55,0.05,24.00,0.03,582,31606,3
2026-05-23T21:25:58,matrix-game-3,1st_data,mirror_test,data-56,0.05,24.00,0.03,587,31601,3
2026-05-23T21:38:43,matrix-game-3,1st_data,mirror_test,data-57,0.06,24.00,0.03,588,31600,3
2026-05-23T21:52:01,matrix-game-3,1st_data,mirror_test,data-58,0.05,24.00,0.03,626,31562,2
2026-05-23T22:05:46,matrix-game-3,1st_data,mirror_test,data-59,0.06,24.00,0.03,616,31572,3
2026-05-24T08:17:07,matrix-game-3,1st_data,mirror_test,data-60,0.04,24.00,0.03,866,31322,5
2026-05-24T08:32:43,matrix-game-3,1st_data,mirror_test,data-61,0.06,24.00,0.04,840,31348,0
2026-05-24T08:48:13,matrix-game-3,1st_data,mirror_test,data-62,0.06,24.00,0.04,854,31334,5
2026-05-24T09:03:02,matrix-game-3,1st_data,mirror_test,data-63,0.06,24.00,0.04,794,31394,5
2026-05-24T09:17:49,matrix-game-3,1st_data,mirror_test,data-64,0.05,24.00,0.04,742,31446,0
2026-05-24T09:30:46,matrix-game-3,1st_data,mirror_test,data-65,0.06,24.00,0.04,668,31520,2
2026-05-24T09:43:42,matrix-game-3,1st_data,mirror_test,data-66,0.04,24.00,0.04,652,31536,5
2026-05-24T09:53:55,matrix-game-3,1st_data,mirror_test,data-67,0.06,24.00,0.04,605,31583,4
2026-05-24T10:06:52,matrix-game-3,1st_data,mirror_test,data-68,0.07,24.00,0.04,622,31566,2
2026-05-24T10:20:59,matrix-game-3,1st_data,mirror_test,data-69,0.05,24.00,0.04,720,31468,3
2026-05-24T10:37:53,matrix-game-3,1st_data,mirror_test,data-70,0.04,24.00,0.04,759,31429,3
2026-05-24T10:57:31,matrix-game-3,1st_data,mirror_test,data-71,0.06,24.00,0.04,767,31421,5
